Action,HRID,Tars Key,Rate Level,Product,External System Code,External Code,Nb Pax,Tars Key Type,Declared in Systems,Booking Limit
A,HC1I6,,,SXA,WB,S4S,3,,No,No
A,HC1I6,,,SXA,WB,S4S,4,,No,No
A,HC1I6,,,SXA,DQ,SXA,1,,No,No
A,HC1I6,,,SXA,DQ,SXA,2,,No,No
A,HC1I6,,,SXA,DQ,SXA,3,,No,No
A,HC1I6,,,SXA,DQ,SXA,4,,No,No
A,HC1I6,,,SXA,HO,SXA,1,,No,No
A,HC1I6,,,SXA,HO,SXA,2,,No,No
A,HC1I6,,,SXA,HO,SXA,3,,No,No
A,HC1I6,,,SXA,HO,SXA,4,,No,No
A,HC1I6,,,SXA,TE,SXA,1,,No,No
A,HC1I6,,,SXA,TE,SXA,2,,No,No
A,HC1I6,,,SXA,TE,SXA,3,,No,No
A,HC1I6,,,SXA,TE,SXA,4,,No,No
A,HC1I6,,,TWC,1A,D1T,1,,No,No
A,HC1I6,,,TWC,1A,D1T,2,,No,No
A,HC1I6,,,TWC,AA,D1T,1,,No,No
A,HC1I6,,,TWC,AA,D1T,2,,No,No
A,HC1I6,,,TWC,UA,D1T,1,,No,No
A,HC1I6,,,TWC,UA,D1T,2,,No,No
A,HC1I6,,,TWC,TW,D1T,1,,No,No
A,HC1I6,,,TWC,TW,D1T,2,,No,No
A,HC1I6,,,TWC,WB,D1T,1,,No,No
A,HC1I6,,,TWC,WB,D1T,2,,No,No
A,HC1I6,,,TWC,DQ,TWC,1,,No,No
A,HC1I6,,,TWC,DQ,TWC,2,,No,No
A,HC1I6,,,TWC,HO,TWC,1,,No,No
A,HC1I6,,,TWC,HO,TWC,2,,No,No
A,HC1I6,,,TWC,TE,TWC,1,,No,No
A,HC1I6,,,TWC,TE,TWC,2,,No,No
A,HC1I6,,,TRA,1A,B2S,1,,No,No
A,HC1I6,,,TRA,1A,B2S,2,,No,No
A,HC1I6,,,TRA,1A,B2S,3,,No,No
A,HC1I6,,,TRA,1A,B2S,4,,No,No
A,HC1I6,,,TRA,AA,B2S,1,,No,No
A,HC1I6,,,TRA,AA,B2S,2,,No,No
A,HC1I6,,,TRA,AA,B2S,3,,No,No
A,HC1I6,,,TRA,AA,B2S,4,,No,No
A,HC1I6,,,TRA,UA,B2S,1,,No,No
A,HC1I6,,,TRA,UA,B2S,2,,No,No
A,HC1I6,,,TRA,UA,B2S,3,,No,No
A,HC1I6,,,TRA,UA,B2S,4,,No,No
A,HC1I6,,,TRA,TW,B2S,1,,No,No
A,HC1I6,,,TRA,TW,B2S,2,,No,No
A,HC1I6,,,TRA,TW,B2S,3,,No,No
A,HC1I6,,,TRA,TW,B2S,4,,No,No
A,HC1I6,,,TRA,WB,B2S,1,,No,No
A,HC1I6,,,TRA,WB,B2S,2,,No,No
A,HC1I6,,,TRA,WB,B2S,3,,No,No
A,HC1I6,,,TRA,WB,B2S,4,,No,No
A,HC1I6,,,TRA,DQ,TRA,1,,No,No
A,HC1I6,,,TRA,DQ,TRA,2,,No,No
A,HC1I6,,,TRA,DQ,TRA,3,,No,No
A,HC1I6,,,TRA,DQ,TRA,4,,No,No
A,HC1I6,,,TRA,HO,TRA,1,,No,No
A,HC1I6,,,TRA,HO,TRA,2,,No,No
A,HC1I6,,,TRA,HO,TRA,3,,No,No
A,HC1I6,,,TRA,HO,TRA,4,,No,No
A,HC1I6,,,TRA,TE,TRA,1,,No,No
A,HC1I6,,,TRA,TE,TRA,2,,No,No
A,HC1I6,,,TRA,TE,TRA,3,,No,No
A,HC1I6,,,TRA,TE,TRA,4,,No,No
A,HC1I6,,,TWA,1A,J5S,1,,No,No
A,HC1I6,,,TWA,1A,J5S,2,,No,No
A,HC1I6,,,TWA,1A,J5S,3,,No,No
A,HC1I6,,,TWA,1A,J5S,4,,No,No
A,HC1I6,,,TWA,1A,J5S,5,,No,No
A,HC1I6,,,TWA,AA,J5S,1,,No,No
A,HC1I6,,,TWA,AA,J5S,2,,No,No
A,HC1I6,,,TWA,AA,J5S,3,,No,No
A,HC1I6,,,TWA,AA,J5S,4,,No,No
A,HC1I6,,,TWA,AA,J5S,5,,No,No
A,HC1I6,,,TWA,UA,J5S,1,,No,No
A,HC1I6,,,TWA,UA,J5S,2,,No,No
A,HC1I6,,,TWA,UA,J5S,3,,No,No
A,HC1I6,,,TWA,UA,J5S,4,,No,No
A,HC1I6,,,TWA,UA,J5S,5,,No,No
A,HC1I6,,,TWA,TW,J5S,1,,No,No
A,HC1I6,,,TWA,TW,J5S,2,,No,No
A,HC1I6,,,TWA,TW,J5S,3,,No,No
A,HC1I6,,,TWA,TW,J5S,4,,No,No
A,HC1I6,,,TWA,TW,J5S,5,,No,No
A,HC1I6,,,TWA,WB,J5S,1,,No,No
A,HC1I6,,,TWA,WB,J5S,2,,No,No
A,HC1I6,,,TWA,WB,J5S,3,,No,No
A,HC1I6,,,TWA,WB,J5S,4,,No,No
A,HC1I6,,,TWA,WB,J5S,5,,No,No
